Time in Seconds,Acceleration_Z,OrientSensor_Azimuth,OrientSensor_Pitch,OrientSensor_Roll,FusedOrientation_Azimuth,FusedOrientation_Pitch,FusedOrientation_Roll,AccelOrient_Azimuth,AccelOrient_Pitch,AccelOrient_Roll
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,8.181061,0,0,0,0,0,0,-29.88600156,-0.676847094,20.06043805
00:00.1,8.181061,0,0,0,0,0,0,-29.88600156,-0.676847094,20.06043805
00:00.1,8.181061,0,0,0,0,0,0,-29.88600156,-0.676847094,20.06043805
00:00.2,8.181061,0,0,0,0,0,0,-29.88600156,-0.676847094,20.06043805
00:00.2,8.181061,0,0,0,0,0,0,-29.88600156,-0.676847094,20.06043805
00:00.2,8.181061,0,0,0,0,0,0,-29.88600156,-0.676847094,20.06043805
00:00.2,8.181061,0,0,0,0,0,0,-29.88600156,-0.676847094,20.06043805
00:00.2,8.181061,0,0,0,0,0,0,-29.88600156,-0.676847094,20.06043805
00:00.2,8.181061,0,0,0,0,0,0,-29.88600156,-0.676847094,20.06043805
00:00.2,8.181061,0,0,0,0,0,0,-29.88600156,-0.676847094,20.06043805
00:00.2,8.181061,0,0,0,0,0,0,-29.88600156,-0.676847094,20.06043805
00:00.2,8.181061,0,0,0,0,0,0,-29.88600156,-0.676847094,20.06043805
00:00.2,8.181061,0,0,0,0,0,0,-29.88600156,-0.676847094,20.06043805
00:00.2,8.181061,0,0,0,0,0,0,-29.88600156,-0.676847094,20.06043805
00:00.2,8.181061,0,0,0,0,0,0,-29.88600156,-0.676847094,20.06043805
00:00.2,8.181061,0,0,0,0,0,0,-29.88600156,-0.676847094,20.06043805
00:00.2,10.132407,0,0,0,0,0,0,-29.86482798,-7.438960516,23.90031747
00:00.2,10.132407,0,0,0,0,0,0,-29.86482798,-7.438960516,23.90031747
00:00.2,9.806984,0,0,0,0,0,0,-29.6539937,-13.36477885,21.83574595
00:00.2,9.806984,0,0,0,0,0,0,-29.6539937,-13.36477885,21.83574595
00:00.2,10.907682,317.3756,3.2331662,-20.8342,0,0,0,-47.91428929,-6.763623,16.20444281
00:00.2,10.907682,317.3756,3.2331662,-20.8342,0,0,0,-47.91428929,-6.763623,16.20444281
00:00.2,10.907682,317.3756,3.2331662,-20.8342,0,0,0,-47.91428929,-6.763623,16.20444281
00:00.3,9.461221,317.25616,2.0564954,-19.798073,0,0,0,-65.55523358,-3.867329948,6.914472424
00:00.3,9.461221,317.25616,2.0564954,-19.798073,0,0,0,-65.55523358,-3.867329948,6.914472424
00:00.3,9.461221,317.25616,2.0564954,-19.798073,0,0,0,-65.55523358,-3.867329948,6.914472424
