Time in Seconds,Acceleration_Z,OrientSensor_Azimuth,OrientSensor_Pitch,OrientSensor_Roll,FusedOrientation_Azimuth,FusedOrientation_Pitch,FusedOrientation_Roll,AccelOrient_Azimuth,AccelOrient_Pitch,AccelOrient_Roll
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,7.5385876,0,0,0,0,0,0,-60.2452601,-30.78725868,-20.28551669
00:00.2,7.5385876,0,0,0,0,0,0,-60.2452601,-30.78725868,-20.28551669
00:00.2,7.5385876,0,0,0,0,0,0,-60.2452601,-30.78725868,-20.28551669
00:00.2,7.5385876,0,0,0,0,0,0,-60.2452601,-30.78725868,-20.28551669
00:00.2,7.5385876,0,0,0,0,0,0,-60.2452601,-30.78725868,-20.28551669
00:00.2,7.5385876,0,0,0,0,0,0,-60.2452601,-30.78725868,-20.28551669
00:00.2,7.5385876,0,0,0,0,0,0,-60.2452601,-30.78725868,-20.28551669
00:00.2,7.5385876,0,0,0,0,0,0,-60.2452601,-30.78725868,-20.28551669
00:00.2,7.5385876,0,0,0,0,0,0,-60.2452601,-30.78725868,-20.28551669
00:00.2,7.5385876,0,0,0,0,0,0,-60.2452601,-30.78725868,-20.28551669
00:00.2,7.5385876,0,0,0,0,0,0,-60.2452601,-30.78725868,-20.28551669
00:00.2,7.5385876,0,0,0,0,0,0,-60.2452601,-30.78725868,-20.28551669
00:00.2,7.5385876,0,0,0,0,0,0,-60.2452601,-30.78725868,-20.28551669
00:00.2,7.5385876,0,0,0,0,0,0,-60.2452601,-30.78725868,-20.28551669
00:00.2,9.646067,0,0,0,0,0,0,-60.58060873,-25.97146988,-12.67657838
00:00.2,9.646067,0,0,0,0,0,0,-60.58060873,-25.97146988,-12.67657838
00:00.2,9.455837,306.5979,-29.108011,12.846316,0,0,0,-56.67951203,-26.50945998,-10.12228742
00:00.3,9.455837,306.5979,-29.108011,12.846316,0,0,0,-56.67951203,-26.50945998,-10.12228742
00:00.3,9.455837,306.5979,-29.108011,12.846316,0,0,0,-56.67951203,-26.50945998,-10.12228742
00:00.3,8.313264,305.90604,-28.836655,11.585767,0,0,0,-43.18734759,-29.17026604,-4.279826843
00:00.3,8.313264,305.90604,-28.836655,11.585767,0,0,0,-43.18734759,-29.17026604,-4.279826843
00:00.3,8.313264,305.90604,-28.836655,11.585767,0,0,0,-43.18734759,-29.17026604,-4.279826843
00:00.3,8.313264,305.90604,-28.836655,11.585767,0,0,0,-43.18734759,-29.17026604,-4.279826843
00:00.3,6.9523463,305.0993,-28.336008,10.496925,0,0,0,-23.46451725,-31.52773315,5.357963239
