Time in Seconds,Acceleration_Z,OrientSensor_Azimuth,OrientSensor_Pitch,OrientSensor_Roll,FusedOrientation_Azimuth,FusedOrientation_Pitch,FusedOrientation_Roll,AccelOrient_Azimuth,AccelOrient_Pitch,AccelOrient_Roll
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.1,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,0,0,0,0,0,0,0,0,0,0
00:00.2,10.728819,0,0,0,0,0,0,-95.46836807,-10.42140104,-18.6292812
00:00.2,10.728819,0,0,0,0,0,0,-95.46836807,-10.42140104,-18.6292812
00:00.2,10.728819,0,0,0,0,0,0,-95.46836807,-10.42140104,-18.6292812
00:00.2,10.728819,0,0,0,0,0,0,-95.46836807,-10.42140104,-18.6292812
00:00.2,10.728819,0,0,0,0,0,0,-95.46836807,-10.42140104,-18.6292812
00:00.2,10.728819,0,0,0,0,0,0,-95.46836807,-10.42140104,-18.6292812
00:00.2,10.728819,0,0,0,0,0,0,-95.46836807,-10.42140104,-18.6292812
00:00.2,10.728819,0,0,0,0,0,0,-95.46836807,-10.42140104,-18.6292812
00:00.2,10.728819,0,0,0,0,0,0,-95.46836807,-10.42140104,-18.6292812
00:00.2,10.728819,0,0,0,0,0,0,-95.46836807,-10.42140104,-18.6292812
00:00.2,10.728819,0,0,0,0,0,0,-95.46836807,-10.42140104,-18.6292812
00:00.2,10.728819,0,0,0,0,0,0,-95.46836807,-10.42140104,-18.6292812
00:00.3,10.728819,0,0,0,0,0,0,-95.46836807,-10.42140104,-18.6292812
00:00.3,10.728819,0,0,0,0,0,0,-95.46836807,-10.42140104,-18.6292812
00:00.3,9.376275,0,0,0,0,0,0,-88.50389055,-9.950289592,-20.77765402
00:00.3,9.376275,0,0,0,0,0,0,-88.50389055,-9.950289592,-20.77765402
00:00.3,9.376275,0,0,0,0,0,0,-88.50389055,-9.950289592,-20.77765402
00:00.3,9.376275,0,0,0,0,0,0,-88.50389055,-9.950289592,-20.77765402
00:00.3,12.866806,0,0,0,0,0,0,-89.56097844,-7.840179488,-9.278637818
00:00.3,14.398212,279.3069,-20.36154,4.789752,0,0,0,-78.74270328,-12.26320594,-5.840429446
00:00.3,14.398212,279.3069,-20.36154,4.789752,0,0,0,-78.74270328,-12.26320594,-5.840429446
00:00.3,14.398212,279.3069,-20.36154,4.789752,0,0,0,-78.74270328,-12.26320594,-5.840429446
00:00.3,9.449855,279.24567,-20.9453,5.15985,0,0,0,-78.47650349,-15.33428866,-18.35765994
00:00.3,9.449855,279.24567,-20.9453,5.15985,0,0,0,-78.47650349,-15.33428866,-18.35765994
00:00.3,9.449855,279.24567,-20.9453,5.15985,0,0,0,-78.47650349,-15.33428866,-18.35765994
00:00.3,9.449855,279.24567,-20.9453,5.15985,0,0,0,-78.47650349,-15.33428866,-18.35765994
00:00.3,9.5665045,279.02603,-21.52727,4.9760256,0,0,0,-78.34202389,-15.65011319,-18.27142027
